,이름,행정동,점수,별점,좋아요
0,안주마을 서촌,사직동,68,4.4,249
1,포담 서촌,사직동,68,4.1,389
2,유유안 광화문,사직동,67,4.5,90
3,광화문뚝감 광화문,사직동,66,4.2,114
4,후라토 경복궁,사직동,65,4.4,73
5,파네트 크루아상팩토리 광화문,사직동,64,4.6,7
6,오가와 광화문,사직동,64,4.9,323
7,TIMT 광화문,사직동,64,4.4,1
8,네기 실비 광화문,사직동,61,5.0,30
9, 포시즌스 호텔 서울 보칼리노 광화문,사직동,61,4.2,50
10, 궤도 서촌,사직동,61,4.6,13
11, 포시즌스호텔서울 찰스H 종로구,사직동,61,4.5,28
12, 뽐모도로 광화문지점,사직동,61,4.3,89
13, 힐사이드테이블 광화문,사직동,61,3.9,23
14, 홈보이서울 서촌,사직동,61,4.6,16
15, 김진목삼 서촌,사직동,61,4.6,43
16, 쏘리에스프레소바 종로구,사직동,61,4.4,4
17, 스태픽스 서촌,사직동,61,4.2,26
18, 루뽀 광화문,사직동,60,4.5,20
19, 산정집 광화문,사직동,59,4.3,85
20, 서촌계단집 경복궁역,사직동,59,3.4,625
21, 타펠룬데 서울 경복궁,사직동,59,4.6,34
22, 통인동커피공방 서촌,사직동,59,4.0,73
23, 라면점빵 서촌,사직동,59,4.4,197
24, 할매집 경복궁역,사직동,59,4.0,201
25, 버거드조선 경복궁역,사직동,59,4.6,7
26, 포시즌스호텔 서울 더 마켓 키친 종로구,사직동,58,4.2,28
27, 강남면옥 정동,사직동,58,4.4,34
28, 알레그리아 덕수궁 디팰리스점,사직동,58,4.7,4
29, 깜온 경복궁역,사직동,57,4.4,13
30, 디언타이틀드 카페 광화문,사직동,57,4.5,5
31, 아키라백 광화문,사직동,57,4.6,8
32, 나주소나주곰탕 광화문,사직동,57,4.4,7
33, 코블러 서촌,사직동,57,4.5,30
34, 도토리브라더스 서촌,사직동,56,4.0,65
35, 고가빈커리하우스 광화문,사직동,56,3.9,133
36, 능라도 광화문점,사직동,56,4.1,19
37, 네기 스키야키 광화문점,사직동,56,5.0,6
38, 화목순대국전문 광화문,사직동,55,3.9,81
39, 암소서울 광화문,사직동,55,4.2,15
40, 텐더바 광화문,사직동,55,5.0,16
41, 부산집막국수 경복궁역,사직동,55,4.4,5
42, 신안촌 경복궁역,사직동,55,4.7,50
43, 따빠마드레 종로구,사직동,55,4.0,52
44, 돈까스백반 정동점,사직동,55,4.2,85
45, 나무사이로 광화문,사직동,54,4.0,86
46, 광화문허니즉석떡볶이 광화문역,사직동,54,4.7,3
47, 폴앤폴리나 광화문점,사직동,54,4.2,30
48, 광화문집 광화문역,사직동,54,3.6,499
49, 전주콩나물해장국 경복궁역,사직동,54,4.0,3
50, 안성또순이 광화문,사직동,54,4.0,19
51, 감성타코 광화문점,사직동,53,4.0,189
52, 깡장집 본점,사직동,53,4.5,21
53, 정선할매곤드레밥 경복궁,사직동,53,4.2,2
54, 엘 꾸비또 광화문,사직동,53,4.1,10
55, 커피스트 종로구,사직동,53,4.2,57
56, 시카노이에 신문로,사직동,53,4.1,37
57, 미미쌀국수 광화문,사직동,53,4.5,9
58, 한일관 서울라이트 디팰리스점,사직동,52,4.6,2
59, 칼리가리박사의밀실 서촌,사직동,52,4.5,19
60, 뼈탄집 서촌,사직동,52,4.6,6
61, 야마야 광화문,사직동,52,4.0,54
