place,mango_rank,mango_review_count,mango_view_count,mango_rank_count,mango_count
가락동,4.085,6.05,6516.36,20,200
가락본동,,4.333333333333333,2702.0,0,3
가리봉동,4.3,3.6,4807.7,1,20
가산동,4.0,2.69,4155.85,8,200
가양동,,0.98,1549.7733333333333,0,150
가회동,3.9875,12.68,9528.56,8,25
갈현동,3.7866666666666666,4.3,3866.17,15,200
강일동,,0.5294117647058824,1107.764705882353,0,17
개봉동,,1.3125,1894.96875,0,96
개포동,3.8125,2.7085714285714286,3359.502857142857,8,175
거여동,,1.4691358024691359,1355.0740740740741,0,81
고덕동,,0.8383838383838383,1290.1313131313132,0,99
고척동,,1.1145833333333333,1581.6354166666667,0,96
공덕동,3.854347826086957,10.275,10768.2,46,200
공릉동,3.7138888888888886,7.885,8902.31,36,200
공항동,3.2,1.358974358974359,1936.2307692307693,1,78
광장동,3.8214285714285716,5.266666666666667,4303.983333333334,14,120
광희동,4.0,3.463157894736842,5945.768421052631,5,95
교남동,3.5,1.1666666666666667,1090.3333333333333,1,12
구로동,3.8631578947368426,5.175,5495.29,19,200
구산동,,0.5411764705882353,1500.1882352941177,0,85
구의동,3.6799999999999997,7.245,6207.32,20,200
군자동,3.8625,3.975,5119.205,16,200
금호.가동,3.9799999999999995,3.815,3423.75,20,200
길동,3.7263157894736842,4.735,4643.265,19,200
길음동,3.766666666666667,1.4265734265734267,1664.5874125874127,3,143
낙성대동,,3.0,4056.0,0,1
난곡동,3.3,2.7142857142857144,4763.142857142857,1,7
남가좌동,3.8857142857142857,2.5664335664335662,2032.5034965034965,7,143
남영동,3.962962962962963,6.633333333333334,6500.775,27,120
남현동,3.690909090909091,3.727891156462585,3890.3197278911566,11,147
내곡동,,0.4574468085106383,1443.4893617021276,0,94
노량진동,3.9423076923076925,6.61,8989.175,26,200
녹번동,4.0285714285714285,1.8688524590163935,2308.1065573770493,7,122
논현동,3.9106951871657754,29.68,32294.15,187,200
능동,3.825,3.63,4296.92,16,200
다산동,3.94,1.88,2084.48,5,200
답십리동,4.075,2.6013986013986012,2505.916083916084,8,143
당산동,3.810526315789473,7.63,7781.085,38,200
대림동,3.957142857142857,2.0833333333333335,3090.3939393939395,7,132
대방동,3.891666666666667,3.38,3707.3,12,200
대조동,3.744444444444445,2.654255319148936,2588.946808510638,9,188
대치동,3.8252173913043475,26.3,24986.4,115,200
대학동,,2.5714285714285716,3219.9285714285716,0,14
대흥동,3.821739130434782,5.44,5395.34,23,200
도곡동,3.8168539325842694,16.025,14470.575,89,200
도림동,3.474074074074074,4.9,5240.48,27,200
도봉동,3.8000000000000003,1.7803030303030303,2813.9242424242425,3,132
도화동,3.8130434782608695,10.395,9594.305,46,200
독산동,,0.8928571428571429,1758.1964285714287,0,56
돈암동,,1.121212121212121,1933.4545454545455,0,33
동선동,3.718867924528302,11.565,10241.265,53,200
둔촌동,3.45,1.5871559633027523,2237.293577981651,2,109
등촌동,3.7066666666666666,3.795,4083.35,15,200
마장동,4.2,2.3793103448275863,3619.405172413793,4,116
마천동,,1.4609375,1053.21875,0,128
망우동,3.75,1.324022346368715,1813.3296089385474,4,179
