,상호명,행정동명,행정동코드
0,비지트,방배4동,1165062100
1,홍최백칠백식당,방배4동,1165062100
2,GAITE게이테,방배4동,1165062100
3,별법동태탕,방배4동,1165062100
4,만미정,방배4동,1165062100
5,일품향,방배4동,1165062100
6,내방동만다린,방배4동,1165062100
7,양모리,방배4동,1165062100
8,이뉴,방배4동,1165062100
9,명인만두,방배4동,1165062100
10,카페다디오,방배4동,1165062100
11,아나톨리,방배4동,1165062100
12,향미,방배4동,1165062100
13,유정,방배4동,1165062100
14,옹골집,방배4동,1165062100
15,청정칼국수,방배4동,1165062100
16,스쿨푸드,방배4동,1165062100
17,베네트,방배4동,1165062100
18,양구네김밥,방배4동,1165062100
19,다이어트카페,방배4동,1165062100
20,청호다방,방배4동,1165062100
21,챠이797,방배4동,1165062100
22,굿모닝김밥,방배4동,1165062100
23,MOMENT모멘트,방배4동,1165062100
24,작은댁설렁탕,방배4동,1165062100
25,MOCO,방배4동,1165062100
26,에그랑,방배4동,1165062100
27,노스티모,방배4동,1165062100
28,서병래제빵소,방배4동,1165062100
29,테이블79,방배4동,1165062100
30,제일떡방,방배4동,1165062100
31,행복식당,방배4동,1165062100
32,azit서래,방배4동,1165062100
33,모먼트,방배4동,1165062100
34,투썸플레이스,방배4동,1165062100
35,미국식,방배4동,1165062100
36,7번가피자,방배4동,1165062100
37,생활치킨,방배4동,1165062100
38,왕생삽겹COM,방배4동,1165062100
39,블레스유커피,방배4동,1165062100
40,방배쭈꾸미랑,방배4동,1165062100
41,카페카페,방배4동,1165062100
42,이정현의집밥레스토랑,방배4동,1165062100
43,방배호프포장마차,방배4동,1165062100
44,에이원텔레콤,방배4동,1165062100
45,혜화동돈까스극장,방배4동,1165062100
46,영포막회물회,방배4동,1165062100
47,공리특허짬뽕,방배4동,1165062100
48,대학로김가네,방배4동,1165062100
49,엄마손식당,방배4동,1165062100
50,델리세,방배4동,1165062100
51,베이징탕수육,방배4동,1165062100
52,서우제과,방배4동,1165062100
53,카페38도씨,방배4동,1165062100
54,장충고려왕족발,방배4동,1165062100
55,CafeRoyalNature,방배4동,1165062100
56,엠아이커피,방배4동,1165062100
57,더스파게티하우스,방배4동,1165062100
58,전주식당,방배4동,1165062100
59,진미,방배4동,1165062100
60,소망식당,방배4동,1165062100
61,전주미락불고기,방배4동,1165062100
62,쌍떼,방배4동,1165062100
63,토스트가마시는커피,방배4동,1165062100
64,이누식당,방배4동,1165062100
65,샌드리아,방배4동,1165062100
66,정육점,방배4동,1165062100
67,바른찜닭,방배4동,1165062100
68,엔제이파크,방배4동,1165062100
69,본죽내방역점,방배4동,1165062100
70,유다까,방배4동,1165062100
71,엘리씨커피,방배4동,1165062100
72,메디스톤비뇨기과,방배4동,1165062100
73,ParisSalon,방배4동,1165062100
74,아무거나,방배4동,1165062100
75,배스킨라빈스31,방배4동,1165062100
76,제주어항1950,방배4동,1165062100
77,림스키친,방배4동,1165062100
78,둥s김밥,방배4동,1165062100
79,한세찜촌,방배4동,1165062100
80,쓰리에프,사당2동,1159063000
81,소문난순대,사당2동,1159063000
82,동작노을카페,사당2동,1159063000
83,참오리,사당2동,1159063000
84,더라떼,사당2동,1159063000
85,사계진미,사당2동,1159063000
86,닐리파스타앤피자,사당2동,1159063000
87,크레이지놈바,사당2동,1159063000
88,본죽&비빔밥CAFE,사당2동,1159063000
89,김밥마을,사당2동,1159063000
90,비어킹,사당2동,1159063000
91,곽반장,사당2동,1159063000
92,토리고야이수역점,사당2동,1159063000
93,놀숲이수역점,사당2동,1159063000
94,참맛수제손만두,사당2동,1159063000
95,서가앤쿡이수점,사당2동,1159063000
96,만물떡방,사당2동,1159063000
97,피자스쿨,사당2동,1159063000
98,안다미로,사당2동,1159063000
99,맛고을식당,사당2동,1159063000
100,라화방,사당2동,1159063000
101,가가멜식당,사당2동,1159063000
102,육대장,사당2동,1159063000
103,인생닭강정,사당2동,1159063000
104,사막속디저트,사당2동,1159063000
105,홍천숯불닭갈비,사당2동,1159063000
106,카페,사당2동,1159063000
107,동작대교전망쉼터,사당2동,1159063000
108,티에이치피솥닭가마구이,사당2동,1159063000
109,밀러타임,사당2동,1159063000
110,골목식당,사당2동,1159063000
111,37.5,사당2동,1159063000
112,화성하우스,사당2동,1159063000
113,가메골만두,사당2동,1159063000
114,우리집,사당2동,1159063000
115,배나무골함흥냉면,사당2동,1159063000
116,임창정의대단한갈비,사당2동,1159063000
117,인쌩맥주,사당2동,1159063000
118,배스킨라빈스31이수역점,사당2동,1159063000
119,롯데리아,사당2동,1159063000
