Unnamed: 0,상호명,행정동명,행정동코드,naver_keyword,naver_map_url,naver_visitor_review_qty,naver_star_point,naver_blog_review_qty
9000,라떼플로라,묵1동,1126062000,묵1동%20라떼플로라,https://m.place.naver.com/restaurant/33758632,163,4.48,921
9001,또래오래,묵1동,1126062000,묵1동%20또래오래,https://m.place.naver.com/restaurant/11803074,47,4.52,9
9002,서울수산회센터,묵1동,1126062000,묵1동%20서울수산회센터,https://m.place.naver.com/restaurant/20854206,316,4.48,48
9003,죠스떡볶이,묵1동,1126062000,묵1동%20죠스떡볶이,https://m.place.naver.com/restaurant/33821457,294,4.24,20
9005,스타벅스,묵1동,1126062000,묵1동%20스타벅스,https://m.place.naver.com/restaurant/1032276040,"3,771",4.46,119
9007,연안식당,묵1동,1126062000,묵1동%20연안식당,https://m.place.naver.com/restaurant/1723162317,422,4.25,121
9008,푸라닭치킨,묵1동,1126062000,묵1동%20푸라닭치킨,https://m.place.naver.com/restaurant/1889609636,362,4.53,45
9010,본죽,묵1동,1126062000,묵1동%20본죽,https://m.place.naver.com/restaurant/12977405,null,null,null
9011,역전할머니맥주,묵1동,1126062000,묵1동%20역전할머니맥주,https://m.place.naver.com/restaurant/1267173845,null,null,null
9012,떡사랑,묵1동,1126062000,묵1동%20떡사랑,https://m.place.naver.com/restaurant/13511320,230,4.11,1
9013,역전할머니맥주서울,묵1동,1126062000,묵1동%20역전할머니맥주서울,https://m.place.naver.com/restaurant/1267173845,null,null,null
9015,먹골골목냉면,묵1동,1126062000,묵1동%20먹골골목냉면,https://m.place.naver.com/restaurant/37696421,692,4.42,68
9016,올탑스터디카페,묵1동,1126062000,묵1동%20올탑스터디카페,https://m.place.naver.com/restaurant/1120535138,52,4.27,2
9017,커피맬러드,묵1동,1126062000,묵1동%20커피맬러드,https://m.place.naver.com/restaurant/34827018,101,4.37,47
9019,마구로사시미,묵1동,1126062000,묵1동%20마구로사시미,https://m.place.naver.com/restaurant/36364052,null,null,null
9021,가장맛있는족발,묵1동,1126062000,묵1동%20가장맛있는족발,https://m.place.naver.com/restaurant/37915733,355,4.29,29
9022,돌깨마을맷돌순두부,묵1동,1126062000,묵1동%20돌깨마을맷돌순두부,https://m.place.naver.com/restaurant/38229607,381,4.47,25
9023,동대문엽기떡볶이묵동점,묵1동,1126062000,묵1동%20동대문엽기떡볶이묵동점,https://m.place.naver.com/restaurant/37633095,785,4.32,44
9026,카페,묵1동,1126062000,묵1동%20카페,https://m.place.naver.com/restaurant/1422134589,150,4.67,63
9027,쭈꾸미&매운갈비찜,묵1동,1126062000,묵1동%20쭈꾸미&매운갈비찜,https://m.place.naver.com/restaurant/294208953,124,4.22,30
9028,진국삼계탕,묵1동,1126062000,묵1동%20진국삼계탕,https://m.place.naver.com/restaurant/765948833,143,4.22,18
9030,포앤시드니,묵1동,1126062000,묵1동%20포앤시드니,https://m.place.naver.com/restaurant/31068206,796,4.56,397
9032,달키스,묵1동,1126062000,묵1동%20달키스,https://m.place.naver.com/restaurant/1333741598,31,4.37,9
9034,칸타빌레,묵1동,1126062000,묵1동%20칸타빌레,https://m.place.naver.com/restaurant/1820035013,24,3.89,1
9035,브레드하우스인,묵1동,1126062000,묵1동%20브레드하우스인,https://m.place.naver.com/restaurant/20838667,260,4.27,1
9036,금천숯불갈비,묵1동,1126062000,묵1동%20금천숯불갈비,https://m.place.naver.com/restaurant/18886826,129,4.52,14
9039,김밥천국,묵1동,1126062000,묵1동%20김밥천국,https://m.place.naver.com/restaurant/1985996705,87,4.26,2
9042,배스킨라빈스31,묵1동,1126062000,묵1동%20배스킨라빈스31,https://m.place.naver.com/restaurant/30824670,"1,961",4.49,39
9043,먹골떡방,묵1동,1126062000,묵1동%20먹골떡방,https://m.place.naver.com/restaurant/20903989,null,null,null
9045,수내닭꼬치,묵1동,1126062000,묵1동%20수내닭꼬치,https://m.place.naver.com/restaurant/1178736459,null,null,null
9046,청평매운탕,묵1동,1126062000,묵1동%20청평매운탕,https://m.place.naver.com/restaurant/18203824,800,4.43,203
9047,파리바게뜨묵동삼거리점,묵1동,1126062000,묵1동%20파리바게뜨묵동삼거리점,https://m.place.naver.com/restaurant/11784997,"2,836",4.31,3
9049,엉클,묵1동,1126062000,묵1동%20엉클,https://m.place.naver.com/restaurant/1143630799,66,4.57,2
9050,본죽먹골역점,묵1동,1126062000,묵1동%20본죽먹골역점,https://m.place.naver.com/restaurant/12977405,null,null,null
9051,후식,묵1동,1126062000,묵1동%20후식,https://m.place.naver.com/restaurant/1399449005,29,4.6,7
9052,먹골솥뚜껑삼겹살,묵1동,1126062000,묵1동%20먹골솥뚜껑삼겹살,https://m.place.naver.com/restaurant/35150104,null,null,null
9053,이디야커피,묵1동,1126062000,묵1동%20이디야커피,https://m.place.naver.com/restaurant/1546571283,865,4.41,6
9054,후라이드참잘하는집,묵1동,1126062000,묵1동%20후라이드참잘하는집,https://m.place.naver.com/restaurant/38466828,400,4.34,27
9056,투썸플레이스묵동자이점,묵1동,1126062000,묵1동%20투썸플레이스묵동자이점,https://m.place.naver.com/restaurant/38522588,800,4.35,23
9057,능이버섯백숙,묵1동,1126062000,묵1동%20능이버섯백숙,https://m.place.naver.com/restaurant/11869184,385,4.41,40
9059,하나타코타코야끼,묵1동,1126062000,묵1동%20하나타코타코야끼,https://m.place.naver.com/restaurant/1656805439,null,null,null
9060,태명,묵1동,1126062000,묵1동%20태명,https://m.place.naver.com/restaurant/36351764,null,null,null
9063,고메이,묵1동,1126062000,묵1동%20고메이,https://m.place.naver.com/restaurant/36561242,null,null,null
9064,별담카페&고민상담,묵1동,1126062000,묵1동%20별담카페&고민상담,https://m.place.naver.com/restaurant/1614932391,32,4.29,24
9065,땅스부대찌개,묵1동,1126062000,묵1동%20땅스부대찌개,https://m.place.naver.com/restaurant/1981530319,520,4.41,39
9066,먹골전집,묵1동,1126062000,묵1동%20먹골전집,https://m.place.naver.com/restaurant/1582289130,122,4.49,22
9067,매머드커피묵동자이점,묵1동,1126062000,묵1동%20매머드커피묵동자이점,https://m.place.naver.com/restaurant/37586236,576,4.61,40
9068,활어장군,묵1동,1126062000,묵1동%20활어장군,https://m.place.naver.com/restaurant/1285349720,151,4.2,15
9069,명진,동화동,1114066500,동화동%20명진,https://m.place.naver.com/restaurant/37126873,null,null,null
9071,진도집,동화동,1114066500,동화동%20진도집,https://m.place.naver.com/restaurant/1469766870,null,null,null
9073,충만치킨서울신당점,동화동,1114066500,동화동%20충만치킨서울신당점,https://m.place.naver.com/restaurant/68752679,192,4.27,54
9074,오챠드1974,동화동,1114066500,동화동%20오챠드1974,https://m.place.naver.com/restaurant/33373939,475,4.5,423
9075,핑크핑크,동화동,1114066500,동화동%20핑크핑크,https://m.place.naver.com/restaurant/11849448,null,null,null
9076,삼삼이네,동화동,1114066500,동화동%20삼삼이네,https://m.place.naver.com/restaurant/11853003,362,4.45,46
9078,평옥,동화동,1114066500,동화동%20평옥,https://m.place.naver.com/restaurant/1611400245,170,4.61,17
9079,좋은세상,동화동,1114066500,동화동%20좋은세상,https://m.place.naver.com/restaurant/1018687025,null,null,null
9081,형제정육식당,동화동,1114066500,동화동%20형제정육식당,https://m.place.naver.com/restaurant/331485114,307,4.33,26
9084,명인찜닭,동화동,1114066500,동화동%20명인찜닭,https://m.place.naver.com/restaurant/37387727,null,null,null
9085,바오쯔만두,동화동,1114066500,동화동%20바오쯔만두,https://m.place.naver.com/restaurant/31229793,286,4.37,161
9086,BBQ치킨,동화동,1114066500,동화동%20BBQ치킨,https://m.place.naver.com/restaurant/11799792,212,4.27,4
9088,브레드디,동화동,1114066500,동화동%20브레드디,https://m.place.naver.com/restaurant/924478942,630,4.47,118
9090,까르보네,동화동,1114066500,동화동%20까르보네,https://m.place.naver.com/restaurant/31093301,516,4.28,43
9091,장원식당,동화동,1114066500,동화동%20장원식당,https://m.place.naver.com/restaurant/1854315462,121,4.4,8
9096,춘향미엔,동화동,1114066500,동화동%20춘향미엔,https://m.place.naver.com/restaurant/1643229713,"2,055",4.46,688
9097,언더오챠드,동화동,1114066500,동화동%20언더오챠드,https://m.place.naver.com/restaurant/1927185362,null,null,null
9098,박가네,동화동,1114066500,동화동%20박가네,https://m.place.naver.com/restaurant/1501219824,91,4.64,67
9099,셀렉토커피,동화동,1114066500,동화동%20셀렉토커피,https://m.place.naver.com/restaurant/38226637,123,4.53,3
9100,창매떡볶이,동화동,1114066500,동화동%20창매떡볶이,https://m.place.naver.com/restaurant/1011761220,227,4.37,11
9101,개성손만두,동화동,1114066500,동화동%20개성손만두,https://m.place.naver.com/restaurant/1496882046,551,4.23,31
9103,계경순대국,동화동,1114066500,동화동%20계경순대국,https://m.place.naver.com/restaurant/1391135840,451,4.28,15
9104,명태어장,동화동,1114066500,동화동%20명태어장,https://m.place.naver.com/restaurant/1556947977,null,null,null
