,Unnamed: 0,place,mango_rank,mango_review_count,mango_view_count,mango_count,diningCode_score,diningCode_userScore,diningCode_heart,scale_sum,rank
0,0,가락1동,1.449435238,-0.178971414,-0.161157971,0.676229423,-0.526224899,-0.588674276,-0.417861516,0.252774585,3
1,1,가락2동,1.449435238,-0.178971414,-0.161157971,0.676229423,-1.09555306,-1.95228371,-0.558295069,-1.820596563,2
2,2,가락본동,0.060745849,-0.319244522,-0.455124826,-2.518605738,-0.94429302,-0.013124839,-0.44255313,-4.632200225,1
3,3,가리봉동,2.782415883,-0.379167014,-0.292841767,-2.242909303,-2.010689365,-1.465280341,0.146573338,-3.46189857,1
4,4,가산동,0.922442889,-0.45352538,-0.343078844,0.676229423,0.593966727,0.464227009,-0.38098374,1.479278085,4
5,5,가양1동,0.060745849,-0.593253737,-0.543925162,-0.134642445,-1.016835141,-0.162546327,-0.501581519,-2.892038481,2
6,6,가양2동,0.060745849,-0.593253737,-0.543925162,-0.134642445,-1.263694412,-2.661917192,-0.542091197,-5.678778296,1
7,7,가양3동,0.060745849,-0.593253737,-0.543925162,-0.134642445,-0.719942248,0.270992542,-0.500302266,-2.160327466,2
8,8,가회동,0.844944015,0.362782392,0.070987648,-2.161822116,-1.05773199,-0.870346495,0.125127037,-2.686059509,2
9,9,강일동,0.060745849,-0.630072423,-0.577990087,-2.291561615,-1.694845862,-1.789949254,-0.602855715,-7.526529106,1
10,10,개봉1동,0.060745849,-0.566084334,-0.517321482,-1.010384063,-0.511485535,0.047788749,-0.532119584,-3.028860401,1
11,11,개봉2동,0.060745849,-0.566084334,-0.517321482,-1.010384063,-0.511485535,0.047788749,-0.532119584,-3.028860401,1
12,12,개봉3동,0.060745849,-0.566084334,-0.517321482,-1.010384063,-0.511485535,0.047788749,-0.532119584,-3.028860401,1
13,13,개포1동,-0.240040232,-0.452007862,-0.404452092,0.270793489,-0.852596519,0.047788749,-0.532119584,-1.678303216,2
14,14,개포2동,-0.240040232,-0.452007862,-0.404452092,0.270793489,-0.206170149,-0.33426953,-0.447258704,-1.81340508,2
15,15,개포4동,-0.240040232,-0.452007862,-0.404452092,0.270793489,-0.887690242,-0.315952389,-0.50644268,-2.535792008,2
16,16,거여1동,0.060745849,-0.553285233,-0.558930334,-1.253645624,-1.468086423,2.430746615,-0.598804747,-1.941259896,2
17,17,거여2동,0.060745849,-0.553285233,-0.558930334,-1.253645624,-1.168440023,-6.335314036,-0.396256355,-10.20512575,1
18,18,고덕1동,0.060745849,-0.604825546,-0.563935373,-0.961731751,-0.707308508,0.439443949,-0.456750808,-2.794362187,2
19,19,고덕2동,0.060745849,-0.604825546,-0.563935373,-0.961731751,-0.707308508,0.439443949,-0.456750808,-2.794362187,2
20,20,공덕동,0.019412523,0.166263855,0.166524795,0.676229423,0.677138849,-0.158163297,0.09100359,1.638409738,4
21,21,공릉1동,-0.851420244,-0.029028996,0.022723524,0.676229423,-0.334964111,-1.163338252,-0.530517003,-2.210315658,2
22,22,공릉2동,-0.851420244,-0.029028996,0.022723524,0.676229423,-0.650132735,-0.19907158,0.284306245,-0.746394362,3
23,23,공항동,-4.037485094,-0.562286798,-0.514141482,-1.302297936,-0.219856701,-0.852016839,-0.388154419,-7.876239268,1
24,24,광장동,-0.184683893,-0.242979531,-0.331662436,-0.621165566,0.676086037,-0.017906327,-0.133393552,-0.855705267,3
25,25,광희동,0.922442889,-0.390348723,-0.205132585,-1.0266015,-0.971037833,-0.187833041,-0.085889895,-1.944400688,2
26,26,교남동,-2.1775121,-0.578000739,-0.579333496,-2.372648802,-1.820373408,-3.705495841,-0.444867969,-11.67823235,1
27,27,구로1동,0.074034155,-0.250469843,-0.239850264,0.676229423,1.17933002,0.794415294,0.020032795,2.253721581,4
28,28,구로2동,0.074034155,-0.250469843,-0.239850264,0.676229423,1.17933002,0.794415294,0.020032795,2.253721581,4
29,29,구로3동,0.074034155,-0.250469843,-0.239850264,0.676229423,1.17933002,0.794415294,0.020032795,2.253721581,4
30,30,구로4동,0.074034155,-0.250469843,-0.239850264,0.676229423,1.17933002,0.794415294,0.020032795,2.253721581,4
31,31,구로5동,0.074034155,-0.250469843,-0.239850264,0.676229423,1.17933002,0.794415294,0.020032795,2.253721581,4
32,32,구산동,0.060745849,-0.6291111,-0.547746609,-1.188775874,-0.612555456,0.339195302,-0.542486414,-3.120734302,1
33,33,구의1동,-1.061528304,-0.081324989,-0.184975208,0.676229423,1.025619515,0.788571253,0.065553981,1.228145671,4
34,34,구의2동,-1.061528304,-0.081324989,-0.184975208,0.676229423,1.025619515,0.788571253,0.065553981,1.228145671,4
35,35,구의3동,-1.061528304,-0.081324989,-0.184975208,0.676229423,1.025619515,0.788571253,0.065553981,1.228145671,4
36,36,군자동,0.069955267,-0.34852483,-0.268834556,0.676229423,0.190739854,-0.036368182,-0.064439764,0.218757212,3
37,37,길동,-0.774374579,-0.286423338,-0.30551452,0.676229423,0.383404391,1.168433882,-0.41216561,0.449589649,3
38,38,길음1동,-0.524202772,-0.55676311,-0.535076618,-0.248164507,-0.15037113,0.856293369,-0.549136359,-1.707421127,2
39,39,길음2동,-0.524202772,-0.55676311,-0.535076618,-0.248164507,-0.15037113,0.856293369,-0.549136359,-1.707421127,2
40,40,낙성대동,0.060745849,-0.428194508,-0.35077413,-2.551040613,-0.256003235,-0.282557872,0.443526894,-3.364297614,1
41,41,난곡동,-3.417494096,-0.451540933,-0.296275718,-2.453735989,-1.386021103,-0.345172591,0.305911406,-8.044329023,1
42,42,남가좌1동,0.213881749,-0.4636223,-0.506721891,-0.248164507,-0.551793182,0.677534485,-0.509683454,-1.388569101,3
43,43,남가좌2동,0.213881749,-0.4636223,-0.506721891,-0.248164507,-0.948306672,-0.491273602,-0.57449894,-3.018706163,1
44,44,남영동,0.692816594,-0.131305795,-0.162359083,-0.621165566,-0.12510365,-0.639555225,-0.250155875,-1.236828599,3
45,45,남현동,-0.993892922,-0.368716709,-0.363542853,-0.183294757,-0.098783358,-0.624092703,-0.130512864,-2.762836166,2
46,46,내곡동,0.060745849,-0.635952859,-0.552116304,-1.042818938,-1.198971561,-0.533016748,-0.584810495,-4.486941055,1
47,47,노량진1동,0.564755775,-0.13321242,0.029418076,0.676229423,0.582385798,0.62735838,0.124792809,2.471727842,5
48,48,노량진2동,0.564755775,-0.13321242,0.029418076,0.676229423,0.582385798,0.62735838,0.124792809,2.471727842,5
49,49,녹번동,1.099583174,-0.520623389,-0.485481587,-0.588730691,-0.133526143,0.010714487,-0.449876438,-1.067940588,3
50,50,논현1동,0.368761089,1.751894716,1.825496636,0.676229423,-0.511980976,-0.815942515,-0.392655494,2.901802879,5
