상권_코드_명,서비스_업종_코드_명,rank_상권별
4.19민주묘지역 2번,노래방,1.0
63빌딩,골프연습장,1.0
DMC(디지털미디어시티),골프연습장,1.0
GS강동자이아파트,골프연습장,1.0
G타워,PC방,1.0
KB국민은행 망원동지점,PC방,1.0
KB국민은행 서강지점,미곡판매,1.0
KB국민은행 종암동지점,여관,1.0
KB국민은행 중화동지점,노래방,1.0
KC대학교,미용실,1.0
KT&G 북부지사,노래방,1.0
KT구로지사,노래방,1.0
KT금천빌딩(금천구시설관리공단),노래방,1.0
KT대방빌딩,노래방,1.0
KT월곡지사,노래방,1.0
NH농협은행 보광동지점,PC방,1.0
NH농협은행 상도동지점,네일숍,1.0
Sh수협은행 오금동금융센터(아랫말어린이공원),노래방,1.0
team204(팀204),슈퍼마켓,1.0
가락시장,미곡판매,1.0
가락시장역,PC방,1.0
가로수길,가방,1.0
가리봉시장,네일숍,1.0
가리봉파출소,가구,1.0
가산동우체국,노래방,1.0
가산동주민센터,네일숍,1.0
가산디지털단지,가구,1.0
가산디지털단지역 1번 출입구,분식전문점,1.0
가산초등학교(세일중학교),PC방,1.0
가양역 10번,네일숍,1.0
가오리역 1번,PC방,1.0
가오리역 2번,노래방,1.0
가인초등학교,노래방,1.0
가좌역 2번,가방,1.0
가좌역 3번,네일숍,1.0
간데메공원,PC방,1.0
갈산공원,골프연습장,1.0
갈현건영아파트,PC방,1.0
강남 마이스 관광특구,가구,1.0
강남개포시장,골프연습장,1.0
강남골목시장,노래방,1.0
강남구보훈회관,네일숍,1.0
"강남구청(청담역_8번, 강남세무서)",PC방,1.0
강남구청역,PC방,1.0
강남구청역 2번,노래방,1.0
강남구청역 4번,네일숍,1.0
강남세브란스병원미래의학연구센터,네일숍,1.0
강남시장(강남구 강남시장),가구,1.0
강남시장(동작구 강남시장),미용실,1.0
강남언주로,노래방,1.0
강남역,PC방,1.0
강남을지병원,가구,1.0
강남터미널지하도상점가2구역,가구,1.0
강동구립 천호도서관,PC방,1.0
강동구립성내도서관,PC방,1.0
강동구청(강동구청역 2번),노래방,1.0
강동구청역,가전제품,1.0
강동성심병원,골프연습장,1.0
강동역 4번(강풀만화거리),PC방,1.0
강변역(테크노마트),가구,1.0
강북구청,PC방,1.0
강북문화예술회관,가전제품수리,1.0
강북문화정보도서관,미용실,1.0
강북북부골목시장,네일숍,1.0
강북북부시장,분식전문점,1.0
강북종합전통시장(강북종합골목시장),고시원,1.0
강북중학교,네일숍,1.0
강서고등학교,노래방,1.0
강서구다솔마을,노래방,1.0
강서구청,PC방,1.0
강서구청가양동별관,미용실,1.0
강서구청옆,노래방,1.0
강서농산물도매시장,가구,1.0
강서새말어린이공원,골프연습장,1.0
강일동주민센터,PC방,1.0
개나리아파트,가구,1.0
개롱역,PC방,1.0
개미어린이공원,미용실,1.0
개봉1동주민센터,PC방,1.0
개봉3동주민센터,가전제품수리,1.0
개봉동 현대아파트,PC방,1.0
개봉역,PC방,1.0
개봉중앙시장,PC방,1.0
개봉중학교,PC방,1.0
개봉초등학교,문구,1.0
개봉프라자(고척근린시장),네일숍,1.0
개웅초등학교(개웅중학교),PC방,1.0
개포고등학교,PC방,1.0
개포지구대옆,노래방,1.0
개포지하차도 북측,미용실,1.0
개화산역 1번,가전제품,1.0
거여역,PC방,1.0
거여역 1번(거여공원),PC방,1.0
거여역 8번,미용실,1.0
거여초등학교,노래방,1.0
건대입구역 1번,가구,1.0
건대입구역 6번,PC방,1.0
건대입구역(건대),PC방,1.0
경기고교사거리(경기고교앞사거리),PC방,1.0
경기대학교,PC방,1.0
경동고등학교,가전제품,1.0
경동광성상가(경동시장),미곡판매,1.0
경동시장,미곡판매,1.0
경리단길남측,미용실,1.0
경리단길북측,PC방,1.0
경문고등학교(동작동성당),미용실,1.0
경복고등학교,서적,1.0
경복아파트교차로,골프연습장,1.0
경성고등학교,PC방,1.0
경수초등학교,골프연습장,1.0
경신고등학교,당구장,1.0
경의선책거리,PC방,1.0
경의중앙 신촌역,미용실,1.0
경찰병원역,PC방,1.0
경찰병원역 3번,가구,1.0
경찰병원역 4번(건너말공원),골프연습장,1.0
경찰청앞교차로,문구,1.0
경창시장,노래방,1.0
경춘선숲길 우측,PC방,1.0
경향신문사,골프연습장,1.0
경희대삼거리,네일숍,1.0
경희대학교(경희대),PC방,1.0
경희대후문,PC방,1.0
계남근린공원,미용실,1.0
계상초등학교,가구,1.0
고대앞사거리,PC방,1.0
고덕 골목형상점가,PC방,1.0
고덕동성당,노래방,1.0
고덕역,PC방,1.0
고덕중학교(고덕2동주민센터),노래방,1.0
고려대역 4번,가구,1.0
고려대역 6번,가전제품,1.0
고분다리전통시장,PC방,1.0
고산초등학교,당구장,1.0
고속터미널(고속터미널역),PC방,1.0
고척골목시장상점가(그라운드 고척),노래방,1.0
고척근린시장,PC방,1.0
고척동성당,노래방,1.0
고척중학교,골프연습장,1.0
고척초등학교,골프연습장,1.0
고척프라자,노래방,1.0
곰달래도서관,가전제품,1.0
공군호텔,PC방,1.0
공덕동주민센터,골프연습장,1.0
공덕래미안3차아파트,미용실,1.0
공덕시장,노래방,1.0
공덕역(공덕오거리),골프연습장,1.0
공릉동 국수거리,가구,1.0
공릉동 도깨비시장,가구,1.0
공릉역,가전제품,1.0
공릉역 2번,노래방,1.0
공항고등학교,노래방,1.0
공항시장,미용실,1.0
공항시장역 1번,PC방,1.0
공항시장역 3번,가구,1.0
관성묘,양식음식점,1.0
관악구 중앙길,PC방,1.0
관악구신사동주민센터,PC방,1.0
관악동부센트레빌아파트(은천로35라길),슈퍼마켓,1.0
관악소방서(문영여고),고시원,1.0
관악신사시장,가구,1.0
관악우성아파트,미용실,1.0
관악종합시장(신원시장),PC방,1.0
관악중부시장,가구,1.0
관악해태어린이공원,PC방,1.0
광나루역 1번,미용실,1.0
광산사거리,노래방,1.0
광운대역 1번,PC방,1.0
광운대학교 남단,문구,1.0
광장시장(광장전통시장),노래방,1.0
광진경찰서,미용실,1.0
광진구청,고시원,1.0
광진정말공원,PC방,1.0
광진정보도서관,가구,1.0
광진초등학교,가전제품,1.0
광화문역,가방,1.0
광흥창역 1번,미용실,1.0
광흥창역 6번,골프연습장,1.0
광희패션몰,슈퍼마켓,1.0
교대역(법원.검찰청),PC방,1.0
교대입구교차로,가구,1.0
교육개발원입구사거리,가전제품,1.0
구남초등학교,골프연습장,1.0
구로119안전센터,노래방,1.0
구로4동주민센터,PC방,1.0
구로구민회관,미용실,1.0
구로구청,가전제품,1.0
구로나눔길,노래방,1.0
구로디지털단지,가전제품,1.0
구로디지털단지역,PC방,1.0
구로디지털단지역 4번,가구,1.0
구로보건소,PC방,1.0
구로세무서,분식전문점,1.0
구로시장,가방,1.0
구로역,가구,1.0
구로전화국,PC방,1.0
구로창업지원센터,노래방,1.0
구로초등학교,가전제품수리,1.0
구립대학경로당(관악산샘말공원),PC방,1.0
구반포역,가구,1.0
구산보건지소,가구,1.0
구산역,가구,1.0
구산역 1번,가구,1.0
구산역 2번,당구장,1.0
구산역 4번,PC방,1.0
구산초등학교,가전제품수리,1.0
구삼강변맛길,PC방,1.0
구세군강북종합사회복지관,미용실,1.0
구암초등학교,골프연습장,1.0
구역삼세무서,PC방,1.0
구의1동주민센터,PC방,1.0
구의사거리,PC방,1.0
구의역,PC방,1.0
구의역 4번,PC방,1.0
구파발역,분식전문점,1.0
국기원,미용실,1.0
국립4.19민주묘지,노래방,1.0
국립국악고등학교,미용실,1.0
국립재활원,노래방,1.0
국립정신건강센터,네일숍,1.0
국민대학교앞,노래방,1.0
국민은행방학지점,노래방,1.0
국악고교사거리,가전제품,1.0
국제신학대학원대학교(남서울중학교),노래방,1.0
국회의사당역(국회의사당),골프연습장,1.0
군자역,PC방,1.0
군자역 4번,네일숍,1.0
군자역 5번,고시원,1.0
군자초등학교,자동차수리,1.0
굽은다리역,PC방,1.0
굽은다리역 1번(십자성마을),노래방,1.0
굽은다리역 2번,노래방,1.0
굽은다리역 3번,골프연습장,1.0
굽은다리역 4번,가전제품수리,1.0
그라운드 고척,PC방,1.0
금강수목원아파트,골프연습장,1.0
금남시장,미용실,1.0
금동어린이공원,미용실,1.0
금북초등학교,미용실,1.0
금빛새마을금고본점,노래방,1.0
금산초등학교(금천고등학교),PC방,1.0
금천구립가산도서관,PC방,1.0
금천구청역 1번 출입구,노래방,1.0
금천금빛공원(은행나무사거리서측),가구,1.0
금천세무서,미용실,1.0
금천어울림복지센터,골프연습장,1.0
금천철쭉어린이공원(금하마을),노래방,1.0
금천파출소,반찬가게,1.0
