place,rank,review_count,view_count
을지로동,,0,1114
을지로동,,,
둔촌동,3.6,25,26779
둔촌동,3.3,13,7498
둔촌동,,3,2810
둔촌동,,10,24124
둔촌동,,10,19576
둔촌동,,9,8763
둔촌동,,0,762
둔촌동,,5,5648
둔촌동,,4,3754
둔촌동,,2,4734
둔촌동,,4,5021
둔촌동,,1,172
둔촌동,,0,880
둔촌동,,5,6129
둔촌동,,2,1418
둔촌동,,3,1220
둔촌동,,3,1939
둔촌동,,3,1586
둔촌동,,1,117
둔촌동,,0,1328
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,9,4958
둔촌동,,1,2688
둔촌동,,4,2607
둔촌동,,4,4165
둔촌동,,1,5636
둔촌동,,1,1316
둔촌동,,1,613
둔촌동,,0,7080
둔촌동,,3,3162
둔촌동,,2,4810
둔촌동,,1,2651
둔촌동,,1,411
둔촌동,,2,2171
둔촌동,,2,86
둔촌동,,1,60
둔촌동,,4,7446
둔촌동,,2,2483
둔촌동,,1,1394
둔촌동,,1,924
둔촌동,,1,125
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,1,30
둔촌동,,5,2653
둔촌동,,2,396
둔촌동,,1,2075
둔촌동,,0,1252
둔촌동,,3,1994
둔촌동,,1,2547
둔촌동,,2,1770
둔촌동,,1,1137
둔촌동,,1,222
둔촌동,,2,1408
둔촌동,,1,1040
둔촌동,,1,938
둔촌동,,1,498
둔촌동,,1,2612
둔촌동,,1,1819
둔촌동,,1,69
둔촌동,,1,1883
둔촌동,,1,1762
둔촌동,,1,889
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,0,4680
둔촌동,,0,2470
둔촌동,,0,2423
둔촌동,,0,2140
둔촌동,,0,1950
둔촌동,,0,1518
둔촌동,,0,1506
둔촌동,,0,1383
둔촌동,,0,1383
둔촌동,,0,1358
둔촌동,,0,1291
둔촌동,,0,1211
둔촌동,,0,1191
둔촌동,,0,1167
둔촌동,,0,1138
둔촌동,,0,1113
둔촌동,,0,945
둔촌동,,0,897
둔촌동,,0,800
둔촌동,,0,634
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,0,580
둔촌동,,0,556
둔촌동,,0,522
둔촌동,,0,475
둔촌동,,0,459
둔촌동,,0,453
둔촌동,,0,377
둔촌동,,0,374
둔촌동,,0,361
둔촌동,,0,359
둔촌동,,0,351
둔촌동,,0,313
둔촌동,,0,267
둔촌동,,0,194
둔촌동,,0,168
둔촌동,,0,167
둔촌동,,0,93
둔촌동,,0,89
둔촌동,,0,64
둔촌동,,0,60
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,0,52
둔촌동,,0,48
둔촌동,,0,48
둔촌동,,0,47
둔촌동,,0,44
둔촌동,,0,43
둔촌동,,0,27
둔촌동,,0,23
둔촌동,,0,15
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
둔촌동,,,
소공동,4.5,51,124129
소공동,4.5,47,161357
소공동,4.4,26,54352
소공동,4.4,9,25958
소공동,4.3,63,136895
소공동,4.3,33,122796
소공동,4.3,21,16723
소공동,4.3,23,17464
소공동,4.2,14,7777
소공동,4.1,123,204922
소공동,3.9,41,26042
소공동,3.9,32,16133
소공동,3.9,9,8739
소공동,3.9,7,2465
소공동,3.9,4,727
소공동,3.8,35,32185
소공동,3.8,23,12093
소공동,3.8,15,28184
소공동,3.8,7,5432
소공동,3.7,54,64014
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,3.7,22,28617
소공동,3.7,11,15205
소공동,3.7,5,4653
소공동,3.6,22,28254
소공동,3.6,13,9812
소공동,3.5,8,8315
소공동,3.5,12,9493
소공동,3.4,31,14303
소공동,3.4,12,10899
소공동,3.3,21,13839
소공동,3.3,12,11006
소공동,,5,5581
소공동,,6,6060
소공동,,9,17103
소공동,,4,7312
소공동,,4,4988
소공동,,11,11304
소공동,,2,1153
소공동,,6,5874
소공동,,4,1990
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,6,1630
소공동,,3,2985
소공동,,7,8719
소공동,,3,978
소공동,,2,3577
소공동,,2,878
소공동,,1,252
소공동,,4,5882
소공동,,5,6093
소공동,,4,5582
소공동,,4,4143
소공동,,3,4858
소공동,,2,4154
소공동,,1,3129
소공동,,5,3968
소공동,,4,1744
소공동,,4,1691
소공동,,3,1310
소공동,,3,64
소공동,,3,2070
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,2,601
소공동,,2,490
소공동,,2,111
소공동,,2,87
소공동,,4,3010
소공동,,3,4018
소공동,,1,444
소공동,,1,65
소공동,,3,5244
소공동,,3,2639
소공동,,2,2597
소공동,,2,2049
소공동,,1,6097
소공동,,2,1557
소공동,,3,1172
소공동,,1,292
소공동,,2,4128
소공동,,3,3669
소공동,,2,2571
소공동,,2,1041
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,2,2548
소공동,,1,259
소공동,,1,112
소공동,,1,29
소공동,,3,2140
소공동,,2,4628
소공동,,2,2464
소공동,,2,795
소공동,,2,8086
소공동,,1,2700
소공동,,1,2130
소공동,,1,1864
소공동,,1,1240
소공동,,1,268
소공동,,1,90
소공동,,1,12
소공동,,1,8
소공동,,0,302
소공동,,4,3862
소공동,,2,1660
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,1,4818
소공동,,1,2406
소공동,,1,2034
소공동,,1,415
소공동,,1,239
소공동,,0,1058
소공동,,1,3363
소공동,,1,3245
소공동,,1,2855
소공동,,1,1791
소공동,,1,1344
소공동,,1,800
소공동,,1,392
소공동,,1,351
소공동,,1,67
소공동,,0,2944
소공동,,0,2846
소공동,,0,1955
소공동,,0,1868
소공동,,0,977
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,0,237
소공동,,0,165
소공동,,0,138
소공동,,0,82
소공동,,3,1496
소공동,,1,1616
소공동,,1,336
소공동,,0,4500
소공동,,0,1759
소공동,,0,1518
소공동,,0,1376
소공동,,0,1312
소공동,,0,1196
소공동,,0,925
소공동,,0,726
소공동,,0,486
소공동,,0,312
소공동,,0,153
소공동,,0,40
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
소공동,,,
