,place,rank,review_count,view_count
0,북아현동,4.3,13.0,11896.0
1,북아현동,3.9,18.0,19159.0
2,북아현동,3.9,17.0,3705.0
3,북아현동,3.9,6.0,1748.0
4,북아현동,3.7,23.0,9882.0
5,북아현동,3.7,17.0,26064.0
6,북아현동,3.6,19.0,13418.0
7,북아현동,,3.0,2194.0
8,북아현동,,4.0,1578.0
9,북아현동,,6.0,5011.0
10,북아현동,,4.0,5605.0
11,북아현동,,2.0,2655.0
12,북아현동,,3.0,2023.0
13,북아현동,,1.0,1468.0
14,북아현동,,2.0,196.0
15,북아현동,,3.0,2251.0
16,북아현동,,4.0,3904.0
17,북아현동,,5.0,4912.0
18,북아현동,,3.0,1902.0
19,북아현동,,1.0,653.0
40,북아현동,,3.0,658.0
41,북아현동,,0.0,1212.0
42,북아현동,,4.0,2335.0
43,북아현동,,2.0,1509.0
44,북아현동,,1.0,1880.0
45,북아현동,,1.0,52.0
46,북아현동,,2.0,1865.0
47,북아현동,,2.0,1053.0
48,북아현동,,2.0,1543.0
49,북아현동,,1.0,1380.0
50,북아현동,,1.0,207.0
51,북아현동,,0.0,3363.0
52,북아현동,,2.0,1692.0
53,북아현동,,3.0,886.0
54,북아현동,,1.0,1249.0
55,북아현동,,1.0,165.0
56,북아현동,,2.0,1136.0
57,북아현동,,1.0,2003.0
58,북아현동,,0.0,1545.0
59,북아현동,,1.0,515.0
80,북아현동,,1.0,442.0
81,북아현동,,1.0,1532.0
82,북아현동,,1.0,547.0
83,북아현동,,1.0,1609.0
84,북아현동,,1.0,454.0
85,북아현동,,1.0,2176.0
86,북아현동,,0.0,1942.0
87,북아현동,,0.0,1563.0
88,북아현동,,0.0,1474.0
89,북아현동,,0.0,964.0
90,북아현동,,0.0,630.0
91,북아현동,,0.0,579.0
92,북아현동,,0.0,435.0
93,북아현동,,0.0,290.0
94,북아현동,,0.0,273.0
95,북아현동,,0.0,182.0
96,북아현동,,0.0,166.0
97,북아현동,,0.0,151.0
98,북아현동,,0.0,79.0
99,북아현동,,0.0,73.0
120,회현동,4.6,105.0,300474.0
